Master ID,Item ID,Parent ID,Menu Name,Menu Group,Subgroup,Menu Item,Avg Price,Item Qty (incl voids),% of Ttl Qty (incl voids),Gross Amount (incl voids),% of Ttl Amt (incl voids),Item Qty,Gross Amount,Void Qty,Void Amount,Discount Amount,Net Amount,# Orders,% of Ttl # Orders,% Qty (Group),% Qty (Menu),% Qty (All),% Net Amt (Group),% Net Amt (Menu),% Net Amt (All)
400000003254987959,400000003254987958,400000003254981541,FOOD,Kids Menu,,Kids Mac and Cheese,9.0,1.0,0.25,9.00,0.3,1.0,9.00,0.0,0.00,9.00,0.00,1,0.3333333333333333,0.25,0.009009009009009009,0.0024154589371980675,0.0,0.0,0.0
400000014488241383,400000014488241382,400000003254981541,FOOD,Kids Menu,,Kids Pancake,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
400000014488241385,400000014488241384,400000003254981541,FOOD,Kids Menu,,Kids French Toast,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
400000014488241387,400000014488241386,400000003254981541,FOOD,Kids Menu,,Kids Fruit Cup,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
,,,DRINKS,,,,7.713513513513513,185.0,0.441527446300716,1427.00,0.3381156037863261,185.0,1427.00,0.0,0.00,158.80,1268.20,67,0.5630252100840336,0,0,0.4468599033816425,0,0,0.3343192614502106
400000003055461393,400000003055461392,,DRINKS,Liquor,,,8.47,37.0,0.2,313.50,0.2196916608269096,37.0,313.50,0.0,0.00,98.80,214.70,25,0.373134328358209,0,0.2,0.0893719806763285,0,0.16929506387005203,0.05659860072020203
400000003055463985,400000003055463984,400000003055461393,DRINKS,Liquor,Vodka,,8.57,7.0,0.1891891891891892,60.00,0.19138755980861244,7.0,60.00,0.0,0.00,16.80,43.20,4,0.16,0,0.1891891891891892,0.016908212560386472,0,0.20121099208197488,0.011388260601363429
400000009299207756,400000009299207755,400000003055463985,DRINKS,Liquor,Vodka,Belevedere,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
400000003055464953,400000003055464952,400000003055463985,DRINKS,Liquor,Vodka,Grey Goose,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
400000009299211864,400000009299211863,400000003055463985,DRINKS,Liquor,Vodka,Haku,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
400000003055464955,400000003055464954,400000003055463985,DRINKS,Liquor,Vodka,Ketel One,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
400000003055464957,400000003055464956,400000003055463985,DRINKS,Liquor,Vodka,Stateside,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
400000003055464959,400000003055464958,400000003055463985,DRINKS,Liquor,Vodka,Stolichnaya,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
400000003055464961,400000003055464960,400000003055463985,DRINKS,Liquor,Vodka,Tito's,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
400000003055464795,400000003055464794,400000003055463985,DRINKS,Liquor,Vodka,Well Vodka,6.0,1.0,0.14285714285714285,6.00,0.1,1.0,6.00,0.0,0.00,6.00,0.00,1,0.25,0.14285714285714285,0.02702702702702703,0.0024154589371980675,0.0,0.0,0.0
400000017669762298,400000017669762297,400000003055463985,DRINKS,Liquor,Vodka,Figenza,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
